waterBodyIdentifier,aggregatedDataID
16,1
18,2
18,3
17,4
15,5
18,6
16,7
17,8
17,9
16,10
19,11
20,12
20,13
21,14
22,15
21,16
22,17
21,18
19,19
15,20
14,21
22,22
20,23
14,24
19,25
15,26
14,27
3,28
4,29
5,30
2,31
3,32
3,33
5,34
4,35
2,36
4,37
26,38
6,39
5,40
11,41
8,42
12,43
1,44
1,45
7,46
10,47
6,48
12,49
2,50
7,51
13,52
8,53
12,54
10,55
9,56
1,57
13,58
11,59
7,60
10,61
6,62
11,63
9,64
13,65
8,66
9,67
25,68
23,69
23,70
24,71
24,72
23,73
25,74
25,75
24,76
