aggregatedDataID,observedPropertyDeterminandID
1,1
2,1
3,3
4,1
5,1
6,2
7,3
8,3
9,2
10,2
11,2
12,1
13,3
14,2
15,1
16,3
17,2
18,1
19,3
20,3
21,3
22,3
23,2
24,1
25,1
26,2
27,2
28,3
29,3
30,3
31,1
32,2
33,1
34,2
35,1
36,3
37,2
38,3
39,3
40,1
41,3
42,1
43,3
44,3
45,1
46,1
47,1
48,1
49,1
50,2
51,3
52,3
53,3
54,2
55,3
56,1
57,2
58,2
59,1
60,2
61,2
62,2
63,2
64,3
65,1
66,2
67,2
68,3
69,1
70,3
71,1
72,3
73,2
74,1
75,2
76,2
